layer,effect_group,n,mean_sample_delta_norm,sd_sample_delta_norm,mean_delta_vector_norm,mean_distance_from_layer_group_mean
28,helpful_over,38,112.7271499633789,0.018695317208766937,112.7269058227539,0.23242983222007751
28,helpful_under,52,112.72492218017578,0.020664341747760773,112.72463989257812,0.23237885534763336
28,harmful,30,112.7288818359375,0.02199770323932171,112.72869873046875,0.23137885332107544
28,correct_to_correct,57,112.72533416748047,0.020712560042738914,112.72512817382812,0.23569093644618988
28,wrong_to_wrong,66,112.72703552246094,0.018580462783575058,112.72675323486328,0.23462609946727753
29,helpful_over,38,130.07962036132812,0.5011496543884277,130.03379821777344,3.290187358856201
29,helpful_under,52,129.96128845214844,0.5008517503738403,129.88815307617188,4.310611724853516
29,harmful,30,130.1842498779297,0.541409969329834,130.10594177246094,4.309808254241943
29,correct_to_correct,57,129.53713989257812,0.5425916314125061,129.45248413085938,4.370567798614502
29,wrong_to_wrong,66,129.79698181152344,0.4998871088027954,129.70843505859375,4.5872602462768555
30,helpful_over,38,115.0191421508789,0.5953259468078613,114.90096282958984,4.959567070007324
30,helpful_under,52,114.19322967529297,0.760423481464386,114.00159454345703,6.5276103019714355
30,harmful,30,114.98301696777344,0.793954074382782,114.78109741210938,6.4760422706604
30,correct_to_correct,57,114.7853775024414,0.8225510716438293,114.56819915771484,6.506948471069336
30,wrong_to_wrong,66,114.77743530273438,0.6893343329429626,114.548828125,6.907088279724121
31,helpful_over,38,123.04830169677734,0.7424556016921997,122.85092163085938,6.646120071411133
31,helpful_under,52,122.05014038085938,0.8964755535125732,121.71888732910156,8.832640647888184
31,harmful,30,122.95875549316406,0.97402024269104,122.6136245727539,8.69821834564209
31,correct_to_correct,57,123.27664184570312,1.0473973751068115,122.86832427978516,8.991183280944824
31,wrong_to_wrong,66,122.99625396728516,0.8744236826896667,122.5926284790039,9.43128776550293
32,helpful_over,38,138.4381103515625,0.7896986603736877,138.11634826660156,8.931796073913574
32,helpful_under,52,137.84951782226562,0.8287386894226074,137.2946319580078,12.165207862854004
32,harmful,30,138.3146209716797,0.7591666579246521,137.76806640625,11.626158714294434
32,correct_to_correct,57,139.72451782226562,1.1204431056976318,139.11598205566406,11.921507835388184
32,wrong_to_wrong,66,138.93716430664062,0.8813488483428955,138.31494140625,12.5062837600708
33,helpful_over,38,143.6957244873047,0.9762539267539978,143.23277282714844,10.857629776000977
33,helpful_under,52,143.7576141357422,1.1155377626419067,142.9781036376953,14.713688850402832
33,harmful,30,143.52197265625,0.8532940745353699,142.763916015625,13.976960182189941
33,correct_to_correct,57,145.88787841796875,1.091520071029663,145.04783630371094,14.414026260375977
33,wrong_to_wrong,66,144.7699737548828,1.3191382884979248,143.912353515625,15.065000534057617
34,helpful_over,38,166.6312255859375,1.0537986755371094,166.08377075195312,12.68310546875
34,helpful_under,52,166.13877868652344,1.418820858001709,165.21438598632812,17.225059509277344
34,harmful,30,166.42251586914062,1.019597053527832,165.5238494873047,16.42865753173828
34,correct_to_correct,57,168.77548217773438,1.1048400402069092,167.82061767578125,16.66578483581543
34,wrong_to_wrong,66,167.5131072998047,1.3845372200012207,166.51280212402344,17.54054069519043
35,helpful_over,38,57.919864654541016,0.9668664336204529,57.63823699951172,5.424584865570068
35,helpful_under,52,57.79405212402344,1.0471142530441284,57.32257843017578,7.2398858070373535
35,harmful,30,57.85940170288086,1.1554523706436157,57.41709899902344,6.876914978027344
35,correct_to_correct,57,58.73649978637695,1.1118848323822021,58.28310012817383,6.8908562660217285
35,wrong_to_wrong,66,58.1735725402832,0.9769299030303955,57.715843200683594,7.029324531555176
